Name,Total,African_American,American_Indian_or_Alaska_Native,Asian,Filipino,Hispanic_or_Latino,Pacific_Islander,White,Two_or_More_Races,Not_Reported
Addams Elementary,909,132,2,42,9,672,12,10,18,12
Bancroft Middle,935,110,2,80,20,439,16,198,35,35
Barton Elementary,525,148,2,32,16,282,9,14,15,7
Beach High- Intensive Learning Program,154,23,0,5,4,104,1,9,1,7
Birney Elementary,621,126,0,49,69,309,18,15,21,14
Bixby Elementary,464,46,1,44,18,188,9,97,43,18
Bobbie Smith Elementary,851,68,0,113,21,619,3,4,13,10
Bryant Elementary,365,52,2,29,4,210,6,28,21,13
Burbank Elementary,707,84,0,30,2,504,5,41,28,13
Burcham Elementary,430,25,1,20,8,179,3,140,40,14
Cabrillo High,2124,225,5,65,184,1537,45,28,17,18
California Academy of Mathematics and Science,667,49,3,145,103,282,3,43,24,15
Carver Elementary,529,25,1,21,15,152,1,235,61,18
Chavez Elementary,371,72,1,14,3,244,1,11,16,9
Cleveland Elementary,469,27,1,19,24,191,2,160,26,19
Cubberley K- 8,1004,64,1,64,20,345,10,346,115,39
District Office,50,5,0,4,3,29,0,8,0,1
Dooley Elementary,1001,174,0,23,28,709,23,15,22,7
Edison Elementary,565,54,1,6,0,478,2,10,10,4
Educational Partnership High,807,140,2,26,3,539,15,70,8,4
Emerson Parkside Academy,448,23,0,24,12,143,2,197,26,21
"Ernest S. McBride, Sr. High",744,62,3,59,30,336,4,173,19,58
Eunice Sato Academy of Math & Science,402,29,2,60,41,130,5,94,7,34
Franklin Classical Middle,1279,124,1,112,3,980,4,22,15,18
Fremont Elementary,501,24,1,29,4,150,2,193,58,40
Gant Elementary,562,31,1,50,18,151,1,223,58,29
Garfield Elementary,706,61,0,18,65,538,8,3,9,4
Gompers K- 8,700,64,2,50,17,356,7,150,34,20
Grant Elementary,1119,98,1,81,12,846,24,27,23,7
Hamilton Middle,932,95,1,32,6,749,19,11,5,14
Harte Elementary,917,135,1,86,14,616,20,18,25,2
Helen Keller Middle,358,14,2,9,1,261,3,46,5,17
Henry,846,35,2,14,10,540,2,162,56,25
Holmes Elementary,383,139,0,22,21,131,9,19,25,17
Hoover Middle,758,162,0,64,28,401,20,40,31,12
Hudson K-8,629,112,3,16,131,311,22,8,21,5
Hughes Middle,1467,276,4,175,85,653,24,139,61,50
Jefferson Leadership Academies,1085,183,1,93,3,721,3,38,23,20
Jessie Nelson Elementary,694,67,1,26,6,566,4,10,8,6
Jordan High,2465,362,4,88,28,1871,47,35,12,18
Kettering Elementary,333,32,1,34,3,113,0,98,40,12
King Elementary,734,68,0,9,4,623,9,6,10,5
Lafayette Elementary,912,117,1,23,7,706,7,19,20,12
Lincoln Elementary,1006,80,2,88,4,800,2,11,13,6
Lindbergh STEM Academy,627,140,1,40,10,385,26,12,2,11
Lindsey Academy,762,97,1,20,12,586,18,8,9,11
Longfellow Elementary,990,147,2,105,44,368,15,162,117,30
Los Cerritos Elementary,527,88,1,45,49,199,3,74,54,14
Lowell Elementary,656,17,4,17,11,138,2,387,49,31
MacArthur Elementary,374,34,1,19,13,167,4,89,33,14
Madison Elementary,357,54,0,47,15,155,11,37,29,9
Mann Elementary,383,82,0,14,2,210,4,41,20,10
Marshall Academy of the Arts,886,90,1,38,13,411,5,245,34,49
McKinley Elementary,660,97,0,39,2,477,16,17,5,7
Millikan High,3529,308,8,172,96,1603,30,1092,75,145
Muir K-8,1077,127,0,47,115,702,32,10,31,13
Naples Elementary,347,5,0,19,4,55,0,197,51,16
Newcomb Academy,791,56,2,44,19,279,8,288,55,40
"Nonpublic, Nonsectarian Schools",224,82,1,8,5,81,6,32,8,1
Olivia Nieto Herrera Elementary,832,90,2,99,8,584,1,12,21,15
Polytechnic High,4026,653,2,704,184,1937,49,348,55,94
Powell Academy for Success,1079,232,1,32,9,733,40,5,19,8
Prisk Elementary,567,41,0,32,25,167,5,203,60,34
Reid High,208,36,1,2,7,150,5,2,3,2
Renaissance High School for the Arts,442,93,2,15,13,216,2,64,11,26
Richard D. Browning High,279,49,2,21,4,171,2,16,6,8
Robinson Academy,929,157,0,23,17,678,17,7,19,11
Rogers Middle,874,48,4,65,3,208,5,440,57,44
Roosevelt Elementary,1006,84,0,56,2,832,8,5,13,6
Stanford Middle,1244,105,2,89,35,478,17,373,68,77
Stephens Middle,797,98,0,21,93,532,26,10,9,8
Stevenson Elementary,650,114,2,12,5,474,1,23,14,5
Tincher Preparatory,718,70,2,72,15,252,7,220,60,20
Twain Elementary,567,78,0,65,22,242,5,91,52,12
Washington Middle,1061,97,2,26,7,893,3,11,10,12
Webster Elementary,565,116,3,14,33,347,23,4,16,9
Whittier Elementary,952,92,0,151,4,662,4,7,17,15
Willard Elementary,665,76,4,64,1,462,2,23,17,16
Wilson High,3679,422,9,309,59,2012,20,678,68,102
